Date,Electronics,Clothing,Groceries
2023-02-20,5609.73,2578.41,8144.91
2023-02-21,5320.64,2615.81,7775.04
2023-02-22,5019.04,2842.38,8335.4
2023-02-23,5606.09,3073.17,8403.35
2023-02-24,4733.2,2674.94,7678.05
2023-02-25,5323.05,3456.98,7983.06
2023-02-26,3694.71,4840.18,7278.3
2023-02-27,4461.18,2339.64,8850.27
2023-02-28,6047.52,3313.46,8534.0
2023-03-01,6009.08,3023.62,7302.23
2023-03-02,5259.43,3837.63,7566.55
2023-03-03,4546.95,3162.4,7932.59
2023-03-04,5825.27,2418.84,8019.38
2023-03-05,6236.49,2067.96,7656.97
2023-03-06,4587.63,3488.39,7427.54
2023-03-07,3544.98,2132.96,8197.52
2023-03-08,5449.13,3946.99,8869.74
2023-03-09,5913.77,3442.55,8027.33
2023-03-10,5587.48,3069.37,7854.14
2023-03-11,6565.08,1950.2,7801.58
2023-03-12,6569.3,3540.26,7451.64
2023-03-13,4694.6,4293.41,7664.01
2023-03-14,5198.99,2659.92,8568.06
2023-03-15,4503.47,2406.47,6964.57
2023-03-16,3977.94,2926.38,8035.05
2023-03-17,4036.56,3373.55,8013.98
2023-03-18,5717.02,2575.02,8059.2
2023-03-19,5302.89,3719.36,8363.71
2023-03-20,5889.96,4528.57,8030.58
2023-03-21,7531.62,3264.2,7773.02
2023-03-22,5499.87,2740.01,7671.69
2023-03-23,4212.08,3352.0,8649.17
2023-03-24,6035.13,3941.84,8520.53
2023-03-25,4193.49,3127.71,9438.82
2023-03-26,6748.34,3388.08,7859.51
2023-03-27,3028.55,3563.81,7680.89
2023-03-28,4453.45,2299.64,8226.58
2023-03-29,5622.14,3367.3,8214.51
2023-03-30,6177.52,1926.44,8318.18
2023-03-31,4323.02,2473.26,8423.57
2023-04-01,4141.74,3916.53,8313.34
2023-04-02,5148.37,3696.83,8537.52
2023-04-03,6908.99,2783.86,8604.0
2023-04-04,3461.62,4364.63,8612.92
2023-04-05,4685.88,1951.85,6869.33
2023-04-06,5260.19,2835.93,8116.19
2023-04-07,4204.05,3220.08,7538.39
2023-04-08,4200.61,753.4,8527.72
2023-04-09,4766.61,2873.87,6858.85
2023-04-10,5292.71,2100.4,8734.61
2023-04-11,4804.94,2118.61,7567.65
2023-04-12,6465.57,2782.22,7453.07
2023-04-13,5592.6,1539.47,8178.12
2023-04-14,5383.16,2353.63,7813.36
2023-04-15,6027.65,1558.17,8889.69
2023-04-16,5400.8,3099.03,8681.52
2023-04-17,4556.81,3083.48,7744.58
2023-04-18,4736.85,2721.16,8521.24
2023-04-19,3870.56,3797.16,7727.36
2023-04-20,7004.88,2763.07,7723.04
2023-04-21,5930.72,2981.54,8357.09
2023-04-22,2440.42,2275.2,8727.92
2023-04-23,6333.13,1157.38,7779.46
2023-04-24,3534.07,2883.73,7817.54
2023-04-25,5520.67,2779.24,8150.6
2023-04-26,2795.97,4367.93,7553.0
2023-04-27,4571.87,3533.96,8782.71
2023-04-28,6340.93,2669.5,7548.22
2023-04-29,6396.63,3113.33,7683.4
2023-04-30,5306.78,3725.61,8883.62
2023-05-01,5787.46,3413.4,8107.29
2023-05-02,3586.43,4335.12,8971.79
2023-05-03,5538.33,2368.48,7890.36
2023-05-04,5850.97,3780.03,9259.76
2023-05-05,7569.75,2661.7,8307.82
2023-05-06,4376.78,3154.89,7623.78
2023-05-07,5016.3,2553.86,7616.08
2023-05-08,5078.12,2886.39,7271.4
2023-05-09,5698.58,3169.25,7326.09
2023-05-10,5880.51,3474.6,7670.23
2023-05-11,6060.92,3049.09,7504.2
2023-05-12,5987.96,1011.08,6711.03
2023-05-13,3518.88,2938.44,8420.76
2023-05-14,2386.8,4176.32,8387.67
2023-05-15,4485.62,2932.1,8154.19
2023-05-16,4964.58,4198.79,7432.52
2023-05-17,4386.73,2903.84,8823.4
2023-05-18,4540.3,1742.41,7910.92
2023-05-19,4663.75,2653.64,7583.38
2023-05-20,5577.44,2553.25,8116.29
2023-05-21,3966.31,2816.37,8087.62
2023-05-22,4922.17,2051.75,6748.62
2023-05-23,4929.83,2992.94,7984.53
2023-05-24,5554.7,2737.39,8060.27
2023-05-25,6161.9,4030.29,7810.63
2023-05-26,6684.11,2031.81,7339.27
2023-05-27,4254.01,3196.53,7354.0
2023-05-28,3000.03,3328.82,8257.03
2023-05-29,4758.07,3619.98,8380.8
2023-05-30,3411.38,2709.13,7776.0
2023-05-31,7734.58,3176.64,8191.16
2023-06-01,4127.12,3282.62,7771.04
2023-06-02,5563.83,1681.31,7573.38
2023-06-03,5934.07,2737.84,8107.25
2023-06-04,5340.62,2973.87,7425.45
2023-06-05,7076.72,3067.66,8946.89
2023-06-06,4797.52,3057.87,7281.24
2023-06-07,4165.12,3350.02,8141.91
2023-06-08,4113.38,4550.08,8075.12
2023-06-09,5750.01,2523.66,8030.74
2023-06-10,4810.2,3304.94,8741.7
2023-06-11,4113.51,4041.04,6656.89
2023-06-12,5441.31,1561.09,8205.87
2023-06-13,5709.25,3214.5,7863.31
2023-06-14,5271.31,1655.7,8291.99
2023-06-15,5899.6,4748.46,8027.34
2023-06-16,5088.1,3417.64,7962.49
2023-06-17,4406.37,3309.67,7396.34
2023-06-18,5811.4,1501.3,7663.43
2023-06-19,4109.91,2596.41,9565.75
2023-06-20,3871.11,2600.16,8296.55
2023-06-21,6155.95,4413.16,8526.3
2023-06-22,4652.15,3583.36,7824.05
2023-06-23,6665.68,1677.66,7572.2
2023-06-24,5856.59,3375.6,8388.21
2023-06-25,4576.16,1797.68,7048.14
2023-06-26,5486.22,1696.53,7674.63
2023-06-27,7528.38,3362.74,7822.71
2023-06-28,5754.27,3595.82,8472.49
2023-06-29,5581.7,3367.0,8206.86
2023-06-30,4405.28,4503.67,7763.55
2023-07-01,6844.55,3295.0,8184.49
2023-07-02,6317.94,3136.08,7848.42
2023-07-03,4414.44,2027.19,8535.02
2023-07-04,6880.41,3686.09,8118.08
2023-07-05,5164.75,1678.84,8868.22
2023-07-06,4159.62,4616.3,7861.1
2023-07-07,4401.48,3696.64,8612.7
2023-07-08,5877.7,5231.84,8045.21
2023-07-09,4166.5,3311.46,7651.38
2023-07-10,3896.88,3736.13,9300.79
2023-07-11,4561.13,2778.26,8654.85
2023-07-12,4710.49,2965.38,8117.16
2023-07-13,4326.68,2158.77,8383.0
2023-07-14,4546.06,1841.83,7458.99
2023-07-15,5916.93,3151.6,7476.59
2023-07-16,5256.5,2960.65,8557.05
2023-07-17,4484.36,2139.22,8002.4
2023-07-18,4572.15,2281.01,7922.09
2023-07-19,4868.34,3025.98,7856.03
2023-07-20,4925.59,2125.5,8076.03
2023-07-21,4929.81,3285.32,7872.88
2023-07-22,5880.25,2150.33,6983.93
2023-07-23,5197.04,3204.68,8707.94
2023-07-24,5226.46,2079.43,7944.72
2023-07-25,6426.79,2082.79,8915.76
2023-07-26,6876.65,1110.22,7118.9
2023-07-27,3769.03,2871.78,7116.94
2023-07-28,3421.09,4163.25,7862.29
2023-07-29,4650.59,4117.86,8488.76
2023-07-30,5783.13,3259.25,7390.17
2023-07-31,5375.99,1399.19,7370.76
2023-08-01,6054.1,3675.1,8185.98
2023-08-02,4607.64,3180.53,7843.56
2023-08-03,3043.29,2674.8,8272.04
2023-08-04,3633.22,3965.89,7852.53
2023-08-05,5564.73,3492.36,8192.57
2023-08-06,6061.75,4569.24,8683.07
2023-08-07,3093.2,1875.49,7391.23
2023-08-08,6410.66,1938.06,8592.39
2023-08-09,5464.63,2072.82,7147.93
2023-08-10,4929.58,2771.98,8304.67
2023-08-11,4373.18,4270.54,8709.63
2023-08-12,6591.16,2501.13,7737.97
2023-08-13,5897.01,2518.24,8322.28
2023-08-14,5490.82,3333.83,7756.45
2023-08-15,4268.6,3674.52,8292.69
2023-08-16,6614.18,1210.57,6870.75
2023-08-17,5030.35,3831.77,8081.08
2023-08-18,5299.02,2475.83,8197.7
2023-08-19,5073.06,2918.06,8672.34
2023-08-20,4234.45,4134.61,8462.63
2023-08-21,5319.72,2826.85,7919.38
2023-08-22,5696.94,1774.5,8134.03
2023-08-23,4558.39,1820.88,7276.94
2023-08-24,5234.08,2976.71,8822.04
2023-08-25,5058.5,2732.51,8345.58
2023-08-26,5915.13,3047.58,7069.55
2023-08-27,4701.06,2678.98,8122.99
2023-08-28,5226.57,3993.14,8161.17
2023-08-29,5437.17,3019.81,7613.03
2023-08-30,4678.43,1589.62,8048.43
2023-08-31,4174.65,3653.23,7562.76
2023-09-01,4337.39,4525.02,7297.7
2023-09-02,5409.19,3123.94,7693.33
2023-09-03,4764.68,3186.04,8085.8
2023-09-04,4751.41,2376.09,8464.17
2023-09-05,5604.15,2806.04,8034.91
2023-09-06,6019.49,3402.3,8469.05
2023-09-07,6191.72,3905.43,8324.35
2023-09-08,4387.5,3356.8,7482.3
2023-09-09,5922.75,4454.43,8320.55
2023-09-10,7084.98,3078.78,8334.37
2023-09-11,5126.07,2102.64,8870.9
2023-09-12,4926.69,2125.56,8205.33
2023-09-13,4718.24,3987.53,7382.66
2023-09-14,3936.24,3805.68,7722.96
2023-09-15,5842.25,1684.32,7073.72
2023-09-16,4931.14,2832.39,8255.24
2023-09-17,4850.29,2861.44,8826.98
2023-09-18,5687.34,2398.77,6804.43
2023-09-19,5779.48,1871.7,8848.12
2023-09-20,4399.16,2381.12,8248.62
2023-09-21,4423.04,2237.32,7461.71
2023-09-22,4378.64,1890.83,8128.35
2023-09-23,7113.51,3663.25,7477.84
2023-09-24,6477.15,3226.36,8220.21
2023-09-25,5707.04,2628.7,8031.68
2023-09-26,4624.59,1343.55,8164.67
2023-09-27,4743.07,2760.74,7540.53
2023-09-28,5363.44,3416.84,7613.34
2023-09-29,7209.13,2411.16,8250.91
2023-09-30,5288.88,2080.03,7748.64
2023-10-01,5508.83,2901.58,8074.51
2023-10-02,2451.02,3268.06,8226.49
2023-10-03,5257.58,1400.06,7888.82
2023-10-04,3606.14,4083.21,8577.55
2023-10-05,4513.01,2000.7,7907.22
2023-10-06,5046.89,2661.77,7892.21
2023-10-07,4697.9,3945.02,7684.15
2023-10-08,4364.04,3100.29,8519.99
2023-10-09,4372.95,3876.87,7646.4
2023-10-10,4788.95,4242.94,8627.25
2023-10-11,4745.29,1832.26,8081.56
2023-10-12,5020.27,3721.64,9341.05
2023-10-13,4945.52,4060.39,7669.77
2023-10-14,6278.88,2699.36,8637.6
2023-10-15,2950.4,2763.03,8255.12
2023-10-16,5244.97,1469.56,7743.12
2023-10-17,5071.01,3624.86,8261.84
2023-10-18,4865.81,972.11,8237.48
2023-10-19,4294.19,3775.05,7834.03
2023-10-20,4850.29,1865.86,8214.14
2023-10-21,3366.49,4112.55,8581.72
2023-10-22,5206.72,3317.02,8255.68
2023-10-23,5388.06,3807.17,7790.41
2023-10-24,4295.93,2349.78,7762.25
2023-10-25,6940.69,1933.24,7956.3
2023-10-26,4879.56,1589.1,8556.23
2023-10-27,5044.07,3872.96,7623.11
2023-10-28,6335.78,3530.35,8196.07
2023-10-29,7142.12,3558.73,7218.77
2023-10-30,3876.66,3233.15,8297.31
2023-10-31,4422.84,3435.1,8375.89
2023-11-01,4897.32,2766.67,9013.81
2023-11-02,4257.13,3296.24,8462.65
2023-11-03,5846.11,2314.53,7799.4
2023-11-04,4147.02,2725.81,7232.71
2023-11-05,6266.6,5434.66,8257.1
2023-11-06,5623.65,3031.14,7836.39
2023-11-07,6164.04,1422.7,8167.05
2023-11-08,4151.5,2673.13,7639.91
2023-11-09,4616.51,2153.98,7913.4
2023-11-10,5897.99,3127.37,7150.01
2023-11-11,5716.59,2288.51,7476.9
2023-11-12,4713.14,2830.53,7406.36
2023-11-13,4855.47,2408.13,8436.39
2023-11-14,4565.65,3157.75,7586.37
2023-11-15,4828.56,2498.08,8688.97
2023-11-16,4034.66,3285.5,7591.28
2023-11-17,3866.78,4558.87,9047.97
2023-11-18,6005.43,2076.47,7025.58
2023-11-19,4794.6,3579.08,8212.15
2023-11-20,6151.33,1037.74,8019.3
2023-11-21,5595.98,2813.78,7394.28
2023-11-22,5312.01,3183.12,7724.53
2023-11-23,4289.78,2401.59,7869.36
2023-11-24,3789.22,1570.09,8124.9
2023-11-25,4543.09,2969.57,7531.79
2023-11-26,6531.92,4225.69,8212.66
2023-11-27,5888.96,2882.84,8059.86
2023-11-28,4449.59,3446.86,8389.59
2023-11-29,4554.44,3901.5,7568.82
2023-11-30,4070.91,4977.18,7795.33
2023-12-01,3452.91,2158.17,8721.06
2023-12-02,5101.6,2240.71,7546.98
2023-12-03,6725.08,2766.21,7303.76
2023-12-04,6737.63,3492.35,7684.52
2023-12-05,5607.9,1143.44,7112.03
2023-12-06,4397.33,3523.01,8836.45
2023-12-07,3550.52,3118.61,7858.62
2023-12-08,6047.06,2572.84,7863.45
2023-12-09,5447.22,3340.41,8371.26
2023-12-10,4683.77,3711.72,7637.22
2023-12-11,4516.71,3822.42,7892.03
2023-12-12,5600.44,3011.81,7624.03
2023-12-13,4173.38,3260.83,7122.48
2023-12-14,5239.23,3230.66,8025.38
2023-12-15,3780.18,3984.96,8512.86
2023-12-16,7228.51,3304.97,8039.65
2023-12-17,4312.95,3516.18,8459.9
2023-12-18,5648.4,3714.13,7452.1
2023-12-19,3801.98,4566.85,7622.98
2023-12-20,4836.75,2531.35,7352.85
2023-12-21,5884.62,4300.57,8183.28
2023-12-22,6100.96,4976.88,7841.2
2023-12-23,5763.29,2582.37,7822.47
2023-12-24,4861.76,2826.57,8334.49
2023-12-25,4334.05,2657.24,7763.51
2023-12-26,3922.32,3525.51,8539.84
2023-12-27,6503.8,1510.66,8117.83
2023-12-28,5103.37,2600.4,7816.93
2023-12-29,5288.24,2781.09,7224.2
2023-12-30,6165.37,2711.12,8331.64
2023-12-31,5586.73,2703.07,8141.47
